source,source_key,k,accuracy_percent,predicc_points,num_examples,num_correct,num_invalid_predictions
MAD-eval Human AD,ground_truth,0,58.32274459974587,0.0,787,459,0
MAD-eval Human AD,ground_truth,1,53.748411689961884,-4.574332909783985,787,423,0
MAD-eval Human AD,ground_truth,2,51.334180432020325,-6.988564167725542,787,404,0
MAD-eval Human AD,ground_truth,4,46.75984752223634,-11.562897077509525,787,368,3
MAD-eval Human AD,ground_truth,8,49.80940279542567,-8.513341804320202,787,392,2
NarrAD,NarrAD,0,58.32274459974587,0.0,787,459,0
NarrAD,NarrAD,1,57.814485387547656,-0.5082592121982143,787,455,0
NarrAD,NarrAD,2,54.256670902160096,-4.06607369758577,787,427,0
NarrAD,NarrAD,4,52.731893265565446,-5.5908513341804245,787,415,4
NarrAD,NarrAD,8,50.69885641677255,-7.623888182973316,787,399,15
AutoAD-Zero,AutoAD-Zero,0,58.32274459974587,0.0,787,459,0
AutoAD-Zero,AutoAD-Zero,1,53.494282083862764,-4.828462515883103,787,421,0
AutoAD-Zero,AutoAD-Zero,2,48.91994917407878,-9.402795425667087,787,385,0
AutoAD-Zero,AutoAD-Zero,4,46.12452350698856,-12.198221092757306,787,363,1
AutoAD-Zero,AutoAD-Zero,8,47.26810673443456,-11.054637865311307,787,372,1
StoryTeller,StoryTeller_V2,0,58.32274459974587,0.0,787,459,0
StoryTeller,StoryTeller_V2,1,51.207115628970776,-7.1156289707750915,787,403,0
StoryTeller,StoryTeller_V2,2,46.8869123252859,-11.435832274459969,787,369,0
StoryTeller,StoryTeller_V2,4,45.23506988564168,-13.087674714104189,787,356,0
StoryTeller,StoryTeller_V2,8,44.72681067344346,-13.595933926302408,787,352,0
